OFFENSE DESCRIPTION,STATUTE,TYPE,CLASS,NIBR,UCR
ASSAULT,22.01(a)(1),Offense,MISD,13B,08
ASSAULT,22.01(a)(1)(b,Offense,FELONY,13A,04
"",)(7),,,,
ASSAULT (SBI),22.01(a)(1),Offense,FELONY,13A,04
ASSAULT AGAINST PUBLIC SERVANT,22.02(b)(2),Offense,FELONY,13A,04
ASSAULT AGAINST PUBLIC SERVANT,22.01 (b)(1),Offense,FELONY,13B,08
ASSAULT AGAINST WITNESS/INFORMANT,22.02(b)(2)(C,Offense,FELONY,13A,04
ASSAULT BY PUBLIC SERVANT,22.02(b)(1),Offense,FELONY,13A,04
ASSAULT CAUSES BODILY INJURY,PC. 22.01,Offense,MISD,13B,08
ASSAULT CAUSES BODILY INJURY:FAMILY MEMBER,22.01(a)(1),Offense,MISD,13B,08
ASSAULT CAUSES BODILY INJURY:FAMILY MEMBER,PC 22.01,Offense,FELONY,13A,04
"(PRIOR CONV)",,,,,
ASSAULT CAUSES SEVERE BODILY INJURY,22.02(a)(1),Offense,FELONY,13A,04
ASSAULT THREAT OR OFFENSIVE TOUCH,22.01(a)(3),Offense,MISD,13B,08
ASSAULT THREAT OR OFFENSIVE TOUCH:FAMILY,22.01,Offense,MISD,13B,08
MEMBER,,,,,
ASSAULT W/DEADLY WEAPON,22.02(a)(2),Offense,FELONY,13A,04
ASSAULT/FAMILY/CHOKING/STRANGULATION,22.01(B)(a)(1,Offense,FELONY,13B,08
"",)(3),,,,
ASSIST OTHER AGENCY,,Offense,,TRF,TRF
ASSIST THE PUBLIC,,Offense,,TRF,TRF
ATT AGGRAVATED ASSAULT PUBLIC SERVANT,22.3(B)(2),Offense,FELONY,13A,04
ATT BURGLARY BUILDING,30.02,Offense,MISD,220,05
ATT BURGLARY VEHICLE,30.04 PC,Offense,MISD,23F,06
ATTACK BY DANGEROUS DOG RESULTING IN DEATH,822.044,Offense,,09B,01B
ATTEMPT TO PURCHASE ALCOHOL (DEFERRED),,Offense,,90G,22
ATTEMPT TO PURCHASE ALCOHOL BY A MINOR,106.025,Offense,,90G,22
ATTEMPTED MURDER,15.01(b),Offense,FELONY,13A,04
ATTEMPTED SUICIDE,,Offense,,TRF,TRF
AUTOMATIC DIAL ANNOUNCING DEVICE VIOL MA,55.138,Offense,,90Z,26
BACKED SO AS TO INTERFERE (OR WITHOUT SAFETY),545.415,Offense,,TRF,TRF
BACKED UPON SHOULDER (OR ROADWAY) OF,545.415,Offense,,TRF,TRF
CONTROLLED ACCESS HIGHWAY,,,,,
BAIL JUMPING/FAILURE TO APPEAR,38.10(f),Offense,,90Z,26
BICYCLE - RODE  W/O WHITE LIGHT ON FRONT,,Offense,,TRF,TRF
BICYCLE - RODE IMPROPERLY,551.102,Offense,,TRF,TRF
BICYCLE - RODE IMPROPERLY - TOO MANY,551.102,Offense,,TRF,TRF
BICYCLE RODE MORE THAN TWO ABREAST,551.103,Offense,,TRF,TRF
BIGAMY,25.01,Offense,FELONY,90F,20
BLACKMAIL,,Offense,,210,26
BRAKES IMPROPERLY ADJUSTED,547.401,Offense,,TRF,TRF
BRAKES NOT MAINTAINED IN GOOD WORKING ORDER,547.401,Offense,,TRF,TRF
BRAKES NOT ON ALL WHEELS (WHEN REQUIRED),547.401,Offense,,TRF,TRF
BRAKES NOT ON ALL WHEELS - MOT. CYC.,547.802,Offense,,TRF,TRF
BRIBERY,36.02,Offense,FELONY,510,26
BURGLARY,30.02,Offense,FELONY,220,05
BURGLARY COIN OP MACHINE,30.03,Offense,MISD,23E,06
BURGLARY OF A VEHICLE,30.04(a),Offense,MISD,23F,06
BURGLARY OF A VEHICLE - 2 OR MORE PREV CONVIC,PC 30.04,Offense,FELONY,23F,06
BURNING OFF,,Offense,,90Z,26
BUS FAILED TO STOP AT RR CROSSING,545.253,Offense,,TRF,TRF
BUS SHIFTING GEARS WHILE CROSSING RR TRACK(S),545.253,Offense,,TRF,TRF
CAPITAL MURDER,19.02(b)(2),Offense,FELONY,09A,01A
CAPITAL MURDER,19.03 (a)(2),Offense,FELONY,09A,01A
CARRY MOTOR CYCLE PASSENGER WITHOUT,661.003,Offense,,TRF,TRF
APPROVED HEADGEAR,,,,,
CHANGE OF NAME OR MAILING ADDRESS LATER,522.032,Offense,,TRF,TRF
THAN 30 DAYS-CDL,,,,,
CHANGED LANE WHEN UNSAFE,545.060,Traffic,MISD,TRF,TRF
CHILD (4-17) NOT RESTRAINED BY SAFETY BELT,545.413,Traffic,MISD,TRF,TRF
CHILD NOT ATTENDING SCHOOL,,Offense,,90Z,26
CIVIL STANDBY,,Offense,,TRF,TRF
CLEARANCE (OR SIDE MARKER) LAMPS IMPROPERLY,547.354,Offense,,TRF,TRF
MOUNTED,,,,,
CLEARANCE LIGHTS NOT VISIBLE SUFFICIENT,547.355,Offense,,TRF,TRF
DISTANCE,,,,,
"CLUNG TO VEH. ON BICYCLE (COASTER, ROLLER",551.102,Offense,,TRF,TRF
"SKATES, SLED OR TOY VEH., SPECIFY)",,,,,
"COASTING (ANY VEH., IN NEUTRAL)",545.406,Offense,,TRF,TRF
"COASTING (TRUCK, TRUCK TRACTOR OR BUS,",545.406,Offense,,TRF,TRF
SPECIFY) WITH CLUTCH DISENGAGED,,,,,
COERCE/SOLICIT/INDUCE GANG MEMBERSHIP,71.022,Offense,FELONY,13C,08
COLLECTION OF GARBAGE AND RUBBISH,,Offense,,90Z,26
COMMUNICATING GAMBLING INFORMATION,47.05,Offense,MISD,39B,19A
COMPELLING PROSTITUTION,43.05,Offense,FELONY,40B,16B
COMPETITIVE SPORTS/BOXING REGULATION,2052.309,Offense,,39D,19C
COMPONENTS OF EXPLOSIVES,46.09,Offense,FELONY,520,15
COMPONENTS OF EXPLOSIVES WEAPONS FREE ZONE,46.11,Offense,FELONY,520,15
COMPUTER SECURITY BREACH,33.02(a),Offense,MISD,26G,11
CONCEAL CIGARETTE PRODUCT,154.506,Offense,,90Z,26
CONCEAL TOBACCO PRODUCT,155.204,Offense,,90Z,26
CONFISCATED DRUGS/EQUIPMENT,,City,OTHER,90Z,26
CONSUME ALCOHOLIC BEVERAGE WHILE DRIVING,49.031,Offense,MISD,90D,21
CONSUMPTION OF ALCOHOL (DEFERRED),,Offense,,90G,22
CONSUMPTION OF ALCOHOL BY A MINOR,106.04,Offense,,90G,22
CONSUMPTION OF ALCOHOL IN AUTO,49.03,Offense,MISD,90G,22
CONSUMPTION OF ALCOHOLIC BEV ON PREMISES LIC,ABC 101.72,Offense,MISD,90G,22
FOR OFF-PREMISES CONSUMP,,,,,
CONSUMPTION OF ALCOHOLIC BEVERAGES NEAR  A,,Offense,,90G,22
SCHOOL,,,,,
CONTEMPT OF COURT: REFUSES TO TESTIFY,52.06,Offense,,90Z,26
COUNTERFEITING,,Offense,,250,10
"COV - ABANDONED ICE BOX, REFRIGERATORS, OR",AHCO 10-1,City,MISD,TRF,TRF
OTHER,,,,,
"COV - ACCUMULATION OF GARBAGE, TRASH, WEEDS,",AHCO 9-81,City,MISD,TRF,TRF
OR OTHER MATTER,,,,,
COV - ADS ON POLES AND RIGHT OF WAYS,,City,MISD,TRF,TRF
COV - ANIMAL AT LARGE FELINE (UNALTERED),AHCO 4-6(2),City,MISD,TRF,TRF
COV - ANIMAL NUISANCE - ATTACK OTHER ANIMALS,AHCO,City,MISD,TRF,TRF
"",4-14(4),,,,
"COV - ANIMAL NUISANCE - CHASE PEDESTRIANS,",AHCO,City,MISD,TRF,TRF
BICYCLES OR VEHICLES,4-2(A)(3),,,,
COV - ANIMAL NUISANCE - DAMAGING PROPERTY OF,AHCO,City,MISD,TRF,TRF
OTHERS,4-2(A)(6),,,,
COV - ANIMAL NUISANCE - DEFECATE ON PROPERTY,AHCO,City,MISD,TRF,TRF
OF OTHERS,4-2(A)(5),,,,
COV - ANIMAL NUISANCE - DOG FREE OF RESTRAINT,AHCO 4-6(1),City,MISD,TRF,TRF
COV - ANIMAL NUISANCE - LOUD & OBNOXIOUS NOISE,AHCO,City,MISD,TRF,TRF
"",4-2(A)(1),,,,
COV - ANIMAL NUISANCE - MOLEST PASSERBY,AHCO,City,MISD,TRF,TRF
"",4-2(A)(2),,,,
COV - ANIMAL NUISANCE - TRESPASS ONTO PRIVATE,AHCO,City,MISD,TRF,TRF
PROPERTY,4-2(A)(6),,,,
COV - ANIMAL RESTRICTIONS,AHCO 4-31,City,MISD,TRF,TRF
COV - AUTHORIZED HOURS OF CONSTRUCTION,AHCO 5-6,City,MISD,TRF,TRF
COV - BUILDING PERMIT REQUIRED,AHCO 5-303,City,MISD,TRF,TRF
COV - BUILDING REGULATIONS,AHCO 17-1,City,MISD,TRF,TRF
COV - CLINGING TO MOVING VEHICLES,AHCO 18-4,City,MISD,TRF,TRF
COV - COLLECTION SOLID WASTE CONTAINERS,AHCO 9-28,City,MISD,TRF,TRF
COV - COMMERCIAL TREE/YARD/GARDEN SERVICES,AHCO 9-62,City,MISD,TRF,TRF
REMOVAL OF DEBRIS,,,,,
COV - CONSTRUCTION MATERIALS,AHCO 5-115,City,MISD,TRF,TRF
COV - CONTAINERS TO BE KEPT TIGHTLY COVERED,AHCO 9-32,City,MISD,TRF,TRF
"COV - CONTROL OF TRASH, DUST, AND NOXIOUS",AHCO 5-112,City,MISD,TRF,TRF
MATTER,,,,,
COV - DEMOLITION PERMIT REQUIRED,AHCO 5-132,City,MISD,90Z,26
COV - DISCHARGE AIR RIFLE OR AIR GUN WITHIN CITY,AHCO 10-5,City,MISD,TRF,TRF
LIMITS,,,,,
COV - DISPLAY OF PERMIT AND PLANS REQUIRED,AHCO 5-57,City,MISD,TRF,TRF
COV - DISPLAY SALE ITEMS,AHCO 10-69,City,MISD,TRF,TRF
"COV - DISPOSAL OF ACCUMULATIONS OF BRICK,",AHCO 9-38,County,MISD,TRF,TRF
"LUMBER, CINDERS",,,,,
COV - DISPOSAL OF SHARPS,AHCO 9-42,City,MISD,TRF,TRF
COV - EXTERIOR WALLS,AHCO 304.6,City,MISD,TRF,TRF
COV - FAIL TO COMPLY WITH STAGE WATER,AHCO 19-51,City,MISD,TRF,TRF
RESTRICTIONS,,,,,
COV - FAIL TO MAINTAIN ALARM SYSTEM,AHCO 10-34,City,MISD,TRF,TRF
COV - FAIL TO REMOVE ACCUMULATION OF,AHCO 9-82,City,MISD,TRF,TRF
"GARBAGE, WEEDS, OTHER",,,,,
COV - FAIL TO VACCINATE ANIMAL OLDER THAN 4,AHCO 4-5,City,MISD,TRF,TRF
MONTHS,(1),,,,
COV - FAIL TO VACCINATE ANIMAL OLDER THAN 4,AHCO 4-5(1),City,MISD,TRF,TRF
MONTHS,,,,,
COV - FIRE EXTINGUISHER MAINT.,NFPA,City,MISD,TRF,TRF
"",CHAPTER,,,,
"",10 SECTION,,,,
"",6.1.2,,,,
COV - FIRE EXTINGUISHER REPLACEMENT,NFPA,City,MISD,TRF,TRF
"",CHAPTER,,,,
"",10 SECTION,,,,
"",6.3.1.4,,,,
"COV - FIREWORKS, DISCHARGING WITHIN CITY LIMITS",AHCO,City,MISD,TRF,TRF
"",10-6(A),,,,
"COV - FIREWORKS, POSSESSION W/INTENT TO SELL",AHCO,City,MISD,TRF,TRF
OR GIVE AWAY,10-6(B),,,,
"COV - GARAGE SALE OR ESTATE SALE, NO PERMIT",AHCO 10-66,City,MISD,TRF,TRF
COV - GARDEN AND YARD DEBRIS IN STREET / ALLEY,AHCO 9-61,City,MISD,TRF,TRF
COV - GENERAL DUTIES OF PERSON IN CHARGE OF,AHCO 9-30,City,MISD,TRF,TRF
PREMISES,,,,,
"COV - HEIGHT LIMITATION, STRUCTURES, PLANTS,",AHCO 16-75,City,MISD,TRF,TRF
TREES,,,,,
COV - HOME OCCUPATION VIOLATION,AHCO,City,MISD,TRF,TRF
"",APPEND A,,,,
"",SEC 9,,,,
COV - IMPOUNDING VEHICLES - ILLEGALLY PARKED,AHCO,City,MISD,TRF,TRF
OR ABANDONED,18-126,,,,
COV - IMPROPER LOCATION OF GARBAGE/TRASH CAN,AHCO 9-31,City,MISD,TRF,TRF
OR RECEPTACLE,,,,,
COV - INTERNATIONAL FIRE CODE ADOPTED,AHCO 5-32,City,MISD,TRF,TRF
COV - INTERNATIONAL PROPERTY MAINTENANCE,AHCO 5-28,City,MISD,TRF,TRF
CODE ADOPTED,,,,,
COV - JUNKED VEHICLES DECLARED PUBLIC,AHCO 10-41,City,MISD,TRF,TRF
NUISANCE,,,,,
COV - LOADED RIFLE / SHOTGUN IN CITY LIMITS,AHCO 10-4,City,MISD,TRF,TRF
COV - NOISE NUISANCE,AHCO 10-8,City,MISD,TRF,TRF
COV - OPEN BURNING,AHCO 9-39,City,MISD,TRF,TRF
COV - OPERATE FOOD ESTABLISHMENT WITHOUT,AHCO 8-31 /,City,MISD,TRF,TRF
PERMIT,8-36,,,,
COV - OPERATING ALARM SYSTEM W/O PERMIT,AHCO 10-31,City,MISD,TRF,TRF
COV - OTHER DOMESTIC ANIMALS: RESTRICTIONS,AHCO 4-35,City,MISD,90Z,26
COV - OUTDOOR SWIMMING POOL BARRIER,AHCO,City,MISD,TRF,TRF
REQUIREMENTS,AG105.2,,,,
COV - PARKED DURING PROHIBITED HOURS (2A-5A),AHCO,City,MISD,TRF,TRF
"",18-101,,,,
COV - PARKING / PROHIBITED PURPOSE,AHCO 18-97,City,MISD,TRF,TRF
"COV - PARKING / PROHIBITIONS OF LARGE VEHICLES,",AHCO,City,MISD,TRF,TRF
"BOATS, AND OTHER",18-132/134,,,,
COV - PARKING ON UNPAVED AREA OF PRIVATE,AHCO,City,MISD,TRF,TRF
PROPERTY,18-96(A)(9),,,,
COV - PARKING PROHIBITED OR LIMITED ON CERTAIN,AHCO,City,MISD,TRF,TRF
STREETS,18-152,,,,
COV - PERMIT REQUIRED,AHCO 5-50,City,MISD,TRF,TRF
"COV - PICK UP TREE, YARD, AND GARDEN DEBRIS BY",AHCO 9-63,City,MISD,TRF,TRF
CITY,,,,,
COV - PLACING GARBAGE OR WASTE IN STREETS OR,AHCO 9-35,City,MISD,TRF,TRF
ALLEYS,,,,,
COV - PORTABLE WATER CLOSETS/CONSTRUCTION,AHCO 5-111,City,MISD,TRF,TRF
SITES,,,,,
COV - PROHIBITED ACTS,AHCO 12-1,City,MISD,TRF,TRF
COV - PROHIBITED DISCHARGE INTO THE MS4,AHCO 13-51,City,MISD,TRF,TRF
COV - PROHIBITED DISPLAYS,AHCO 15-41,City,MISD,TRF,TRF
COV - PROHIBITED DISPLAYS,AHCO 15-41,Traffic,MISD,TRF,TRF
COV - PROHIBITED SIGNS,AHCO 15-39,City,MISD,TRF,TRF
"COV - PROTECTION OF CONTAINERS, LIQUEFIED",INT'L FIRE,City,MISD,TRF,TRF
PETROLEUM GASES,CODE,,,,
"",SECTION,,,,
"",3809.13,,,,
COV - PROTECTIVE TREATMENT,AHCO 304.2,City,MISD,TRF,TRF
"COV - RABIES PROTECTION, VACCINATION OF DOGS,",AHCO 4-3,City,MISD,90Z,26
CATS AND FERRETS,,,,,
COV - REQUIREMENT TO REPAIR WATER LEAKS UPON,AHCO 19-52,City,MISD,TRF,TRF
NOTICE 19-52,,,,,
COV - RIGHT-OF-WAY CLEARANCE,AHCO 5-159,City,MISD,TRF,TRF
COV - SHRUBBERY/VEGETATION UPON/OVER,AHCO 16-7,City,MISD,TRF,TRF
STREETS/SIDEWALKS,,,,,
COV - SIDEWALK AND LANE CLOSURE PERMIT,AHCO 5-7,City,MISD,TRF,TRF
COV - SIGN PERMIT REQUIRED,AHCO 15-60,City,MISD,TRF,TRF
COV - SIGNS AND ADVERTISEMENTS OVER PRIVATE,AHCO 10-7,City,MISD,TRF,TRF
PROPERTY,,,,,
COV - SIGNS ON OR OVER PUBLIC PROPERTY,AHCO 15-33,City,MISD,TRF,TRF
COV - SOLICITING IN BUSINESS/COMM.,AHCO 13-4,City,MISD,TRF,TRF
"ESTABLISHMENT, WARNING POSTED",,,,,
"COV - SOLICITING ON PRIVATE PROPERTY, UNINVITED",AHCO 13-1,City,MISD,TRF,TRF
COV - SOLICITING W/O PERMIT,AHCO 13-2,City,MISD,TRF,TRF
COV - SOLID WASTE,AHCO 9-104,City,MISD,TRF,TRF
COV - SOLID WASTE - COMPLIANCE REQUIRED,AHCO 9-26,City,MISD,TRF,TRF
COV - SOLID WASTE - USE OF CONTAINERS,AHCO 9-27,City,MISD,TRF,TRF
COV - SWIMMING POOLS,303.1,City,MISD,TRF,TRF
COV - TEMPORARY SIGNS - DISPLAY MORE THAN TWO,AHCO,City,MISD,TRF,TRF
"(2)",15-38(A),,,,
COV - TEMPORARY SIGNS - DISPLAYED MORE THAN,AHCO 15-38,City,MISD,TRF,TRF
THRITY (30) DAYS,(C),,,,
COV - TRASH RECEPTACLE SCREEN,AHCO 3-50,City,MISD,TRF,TRF
"",(8),,,,
COV - TREE MAINTENANCE,AHCO 5-151,City,MISD,TRF,TRF
"",(g),,,,
COV - TREE PRUNING OR REMOVAL,AHCO 5-154,City,MISD,TRF,TRF
COV - U-TURN PROHIBITED,AHCO,City,MISD,TRF,TRF
"",18-149,,,,
"COV - UNAUTHORIZED SIGNS, SIGNALS",AHCO 18-58,City,MISD,TRF,TRF
COV - USE OR DISPOSITION OF PUBLIC,AHCO,City,MISD,TRF,TRF
RIGHTS-OF-WAY,16-100,,,,
COV - VICIOUS DOG,AHCO 4-5,City,MISD,TRF,TRF
COV - WATER MANAGEMENT 19-51,AHCO 19-51,City,MISD,TRF,TRF
COV - YEAR ROUND WATER CONSERVATION,AHCO 19-50,City,MISD,TRF,TRF
COV - ZONING COMPLIANCE 2075,AHCO 3-6,City,MISD,TRF,TRF
COV- DISTURBING CONTENTS OF CONTAINERS,AHCO 9-34,City,MISD,TRF,TRF
COV-CERTAIN ITEMS PROHIBITED,AHCO 10-65,City,MISD,TRF,TRF
"COV-CURBS, CURB CUTS, CURBS AND GUTTERS,ETC.",AHCO 16-2,City,MISD,TRF,TRF
ASSIGN RESP.  PERMIT REQUIRED,,,,,
COV-MAINTENANCE OF CONTAINERS,AHCO 9-33,City,MISD,TRF,TRF
CREDIT CARD OR DEBIT CARD ABUSE,32.31,Offense,FELONY,23H,06
CREDIT CARD TRANS LAUNDERING,32.35(e)(4),Offense,FELONY,26B,11
CRIMINAL MISCHIEF - SUBSTANTIAL INCONVENIENCE,PC 28.03,Offense,MISD,290,14
CRIMINAL MISCHIEF <$100,PC 28.03,Offense,MISD,290,14
"CRIMINAL MISCHIEF <$2,500 HABITATION W/FA/EXPL",PC,Offense,FELONY,290,14
"",28.03(B)(4)(B,,,,
"",),,,,
CRIMINAL MISCHIEF <$50,PC 28.03,Offense,MISD,290,14
"CRIMINAL MISCHIEF >=$1,500<$20K",PC,Offense,FELONY,290,14
"",28.03(b)(4),,,,
CRIMINAL MISCHIEF >=$100<$750,PC,Offense,MISD,290,14
"",28.03(B)(2),,,,
CRIMINAL MISCHIEF >=$100K<$200K,PC,Offense,FELONY,290,14
"",28.03(b)(6),,,,
CRIMINAL MISCHIEF >=$150K<$300K,PC,Offense,FELONY,290,14
"",28.03(B)(6),,,,
"CRIMINAL MISCHIEF >=$2,500<$30K",PC,Offense,FELONY,290,14
"",28.03(B)(4)(A,,,,
"",),,,,
CRIMINAL MISCHIEF >=$200K,PC,Offense,FELONY,290,14
"",28.03(b)(7),,,,
CRIMINAL MISCHIEF >=$20K<$100K,PC,Offense,FELONY,290,14
"",28.03(b)(5),,,,
CRIMINAL MISCHIEF >=$300K,PC,Offense,FELONY,290,14
"",28.03(B)(7),,,,
CRIMINAL MISCHIEF >=$30K<$150K,PC,Offense,FELONY,290,14
"",28.03(B)(5),,,,
CRIMINAL MISCHIEF >=$50<$500,PC,Offense,MISD,290,14
"",28.03(b)(2),,,,
"CRIMINAL MISCHIEF >=$500<$1,500",PC,Offense,MISD,290,14
"",28.03(b)(3),,,,
"CRIMINAL MISCHIEF >=$750<$2,500",PC,Offense,MISD,290,14
"",28.03(B)(3)(A,,,,
"",),,,,
CRIMINAL MISCHIEF >=$750<$30K DESTROY SCHOOL,PC 28.03(H),Offense,FELONY,290,14
"CRIMINAL MISCHIEF IMP/INT PUB SERVICE <$30,000",PC,Offense,FELONY,290,14
"",28.03(B)(4)(,,,,
"",D),,,,
CRIMINAL MISCHIEF TRANS/COMM EQUIP/DEV,PC 28.03(J),Offense,FELONY,290,14
"<$150,000",,,,,
CRIMINAL NEGLIGENT HOMICIDE,19.05,Offense,FELONY,09B,01B
CRIMINAL NONSUPPORT,25.05,Offense,FELONY,90F,20
CRIMINAL SIMULATION,32.22,Offense,MISD,90Z,26
CRIMINAL TRESPASS,30.05(a),Offense,MISD,90J,26
CRIMINAL TRESPASS - SCHOOL GROUNDS,EDC 37.107,Offense,MISD,90J,26
CRIMINAL TRESPASS IN HABITATION,30.05(d),Offense,MISD,90J,26
CRIMINAL TRESPASS W/DEADLY WEAPON,30.05(d)(3)(C,Offense,MISD,90J,26
"",),,,,
CROSSED BETWEEN INTERSECTIONS WHERE,552.005,Offense,,TRF,TRF
PROHIBITED,,,,,
CROSSED FIRE HOSE WITHOUT PERMISSION,545.205,Offense,,TRF,TRF
CROSSED PHYSICAL BARRIER,545.063,Offense,,TRF,TRF
CROSSED RR WITH HEAVY EQUIPMENT WITHOUT,545.255,Offense,,TRF,TRF
NOTICE,,,,,
CROSSED RR WITH HEAVY EQUIPMENT WITHOUT,545.255,Offense,,TRF,TRF
STOP (OR SAFETY),,,,,
CRUELTY TO ANIMALS,42.09,Offense,MISD,720,26
CRUELTY TO ANIMALS,42.092,Offense,MISD,720,26
CRUELTY TO ANIMALS 2+ PREV CONVIC,42.09(d),Offense,FELONY,720,26
CURFEW VIOLATION,CITY ORD,Offense,,90B,28
CUT ACROSS DRIVEWAY,545.423,Offense,,TRF,TRF
CUT CORNER LEFT TURN,545.101,Offense,,TRF,TRF
CUT IN AFTER PASSING,545.053,Offense,,TRF,TRF
DAMAGE CITY PROPERTY,,Offense,,90Z,26
DEADLY CONDUCT,22.05(a),Offense,MISD,13A,04
DEADLY CONDUCT DISCHARGE FIREARM,22.05(b),Offense,FELONY,13A,04
DEADLY FORCE IN DEFENSE OF PERSON,9.32,Offense,,09C,01B
DECEASED PERSON,,Offense,,TRF,TRF
DECEPTIVE BUSINESS PRACTICES,32.42 (4),Offense,MISD,26A,11
DEFECTIVE (NO) WINDSHIELD WIPER,547.603,Offense,,TRF,TRF
DEFECTIVE (OR NO) AUTOMATIC BRAKE APPLICATION,547.401,Offense,,TRF,TRF
"ON BREAKAWAY (TRAILER, SEMITRAILERS AND POLE",,,,,
TRAILER),,,,,
DEFECTIVE AIR BRAKE RESERVOIR,547.401,Offense,,TRF,TRF
DEFECTIVE BRAKES (OR NO BRAKES) ON MOTOR,547.401,Offense,,TRF,TRF
"VEH. (TRAILER, SEMITRAILER, POLE TRAILER OR",,,,,
"COMBINATION OF VEH.S, SPECIFY)",,,,,
DEFECTIVE BRAKES -- MOT. CYC. (OR MOTORDRIVEN,547.408,Offense,,TRF,TRF
CYCLE),,,,,
"DEFECTIVE EXHAUST EMISSION SYSTEM (EQUIPPED,",547.605,Offense,,TRF,TRF
BUT NOT IN GOOD WORKING ORDER),,,,,
DEFECTIVE HEAD LAMP ON MOTOR CYCLE,547.801,Offense,,TRF,TRF
DEFECTIVE HEAD LAMP(S),547.321,Offense,,TRF,TRF
DEFECTIVE PARKING LAMP(S),547.383,Offense,,TRF,TRF
DEFECTIVE SAFETY GLAZING MATERIAL,547.608,Offense,,TRF,TRF
DEFECTIVE STOP LAMP(S),547.323,Offense,,TRF,TRF
DEFECTIVE TAIL LAMP(S),547.322,Offense,,TRF,TRF
DEFECTIVE TURN SIGNAL LAMPS,547.324,Offense,,TRF,TRF
DEFECTIVE WINDSHIELD WIPER(S),,Offense,,TRF,TRF
DEL ABUSABLE GLUE/AEROSOL PAINT TO MINOR FS,485.033,Offense,MISD,35A,18
DEL ABUSABLE GLUE/PAINT TO MINOR W/O PERMIT,485.035,Offense,MISD,35A,18
MA,,,,,
DEL ABUSABLE GLUE/PAINT TO MINOR W/PERMIT MB,485.033(e),Offense,MISD,35A,18
DEL MARIJUANA <= 1/4 OZ,481.120(b)(1),Offense,MISD,35A,18
DEL MARIJUANA <= 1/4 OZ REMUNERATION,481.120(b)(2),Offense,MISD,35A,18
DEL MARIJUANA <= 1/4OZ DRUG FREE ZONE,481.134(f),Offense,MISD,35A,18
DEL MARIJUANA <= 1/4OZ REMUN DRUG FREE ZONE,481.134(e),Offense,FELONY,35A,18
"DEL MARIJUANA > 2,000LBS",481.120(b)(6),Offense,FELONY,35A,18
"DEL MARIJUANA > 50LBS<=2,000LBS F1",481.120(b)(5),Offense,FELONY,35A,18
DEL MARIJUANA > 5LBS <= 50LBS,481.120(b)(4),Offense,FELONY,35A,18
